,MLP All Features,MLP Handpicked,MLP RFE-AdaBoost
Test Set 1,0.5068123758329846,0.5113184785524824,0.5087993187454997
Test Set 2,0.5247252747252747,0.5173992673992674,0.5200320512820513
Average,0.5157688252791297,0.5143588729758749,0.5144156850137755
