,SMA,EMA,BBAND_Upper,BBAND_Middle,BBAND_Lower,HT_TRENDLINE,SAR,RSI,MOM,ROC,ROCP,STOCH_SLOWK,STOCH_SLOWD,MACD,MACDSIGNAL,MACDHIST,OBV,AD,ADOSC,HT_DCPERIOD,HT_TRENDMODE,AVGPRICE,TYPPRICE,ATR,BETA,LINEARREG,VAR,EXP,LN,CDLENGULFING,CDLDOJI,CDLHAMMER,CDLHANGINGMAN
MACD,0.14465642595465844,0.1457289708229351,0.12940189588964862,0.14465642595465844,0.15945255717483856,0.06689753368360722,-0.09065727901547554,0.7358350437117922,0.6740214736371262,0.600146084532162,0.6001460845321621,0.6775991164058779,0.7299136500074138,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MACDSIGNAL,0.17114406655349917,0.16743176655891004,0.15446775434619292,0.17114406655349917,0.1872530866922651,0.0933907408811337,-0.1034419102433902,0.583718960746388,0.4542318153690196,0.399703574886744,0.3997035748867441,0.5179333763126731,0.6624259503934327,0.9553598642750006,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MACDHIST,-0.05277532931127267,-0.037362112477525126,-0.05134648882201034,-0.05277532931127267,-0.05397477060079195,-0.06897425986980057,0.02103464963372543,0.63502725078397,0.8378316750698186,0.7599504186840756,0.7599504186840755,0.6469888241613462,0.3661312419905804,0.35001027457614087,0.05817625585145324,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
OBV,0.5883098093190222,0.5888662781047054,0.5834002445450998,0.5883098093190222,0.5909754534267129,0.5796680268441955,-0.4124669522516418,0.11763041143383367,0.09988476910664934,0.06609178427525587,0.06609178427525587,0.09996501443162101,0.10696850347440684,0.1797528913315029,0.18917831815254013,0.006733524125362993,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AD,0.729607608387833,0.7302474163640071,0.7248618095388191,0.729607608387833,0.730939848428797,0.7263423874852692,-0.5090118021850103,0.0630019364703772,0.06690201048692292,0.034197935722847926,0.034197935722847926,0.0613252089069123,0.06706550278991846,0.12018876463085758,0.12641551901013182,0.006488322664635778,0.54466225359509,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADOSC,0.011930152214060633,0.017889476486547515,0.009516687650264892,0.011930152214060633,0.014318179666738033,-0.020161756197271112,0.0005695182570293004,0.5911218180460126,0.5107901226128033,0.5707341313044894,0.5707341313044894,0.5840798629999804,0.47084829063648254,0.457549403362174,0.3482760036529526,0.44140554918207836,0.08093652798123024,0.06398830815265835,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_DCPERIOD,0.01580956051944478,0.015547647126896087,0.011665418688457213,0.01580956051944478,0.019847901544425266,0.006607514644003085,-0.004682312571860006,0.05555935148495198,0.022010691493776203,0.019119015110891886,0.019119015110891882,0.021727327900190257,0.0380596309159672,0.08641737747662631,0.10450579702549533,-0.038890411744208625,0.0056917976123403964,0.002959972195747849,0.005459098724718722,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_TRENDMODE,-0.07679189585901763,-0.07685901799421976,-0.06249604533357565,-0.07679189585901763,-0.09101555386032642,-0.08209685020187062,0.049257190264673296,0.08099605671598344,0.03406566851177071,0.0366649394964216,0.03666493949642159,0.07820357736640024,0.08752911558285625,0.05184307438882222,0.04776076978938904,0.024131454795980913,-0.056779010580471884,-0.05655928992100074,0.04472816265512794,0.12754010310920363,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AVGPRICE,0.9964427998601548,0.99761668340774,0.993184630413978,0.9964427998601548,0.9940717230667109,0.9892856277219858,-0.6885386559577974,0.10132100215808766,0.10373721819714879,0.05758166871268952,0.05758166871268952,0.09237715604446223,0.09848751417328055,0.1856635877390767,0.19364425336861832,0.014542412693031184,0.5926747087918128,0.7309276972656868,0.04871528173089921,0.01653432954841166,-0.07484902345608033,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
TYPPRICE,0.9962620490284425,0.9974645239618825,0.992985618247833,0.9962620490284425,0.9939111132211342,0.9890677009402228,-0.6884712661875446,0.10381339734916477,0.10586632637955545,0.05953922249641649,0.05953922249641647,0.09300907160355856,0.09862424016562964,0.18630641403162726,0.19384182474046358,0.0160864795685992,0.5928248102611605,0.7310109881971882,0.05003121135091049,0.016548698501613442,-0.07485499239086701,0.9999656191071975,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
